"","SqlTrace"
"23700","exec sp_cursorfetch 180157689,16,25,1"
"23701","exec sp_cursorfetch 180157689,16,26,1"
"23702","exec sp_cursorfetch 180157689,16,27,1"
"23703","exec sp_cursorfetch 180157689,16,28,1"
"23704","exec sp_cursorfetch 180157689,16,29,1"
"23705","exec sp_cursorfetch 180157689,16,30,1"
"23706","exec sp_cursorfetch 180157689,16,31,1"
"23707","exec sp_cursorfetch 180157689,16,32,1"
"23708","exec sp_cursorfetch 180157689,16,33,1"
"23709","exec sp_cursorfetch 180157689,16,34,1"
"23710","exec sp_cursorfetch 180157689,16,35,1"
"23711","exec sp_cursorfetch 180157689,16,36,1"
"23712","exec sp_cursorfetch 180157689,16,37,1"
"23713","exec sp_cursorfetch 180157689,16,38,1"
"23714","exec sp_cursorfetch 180157689,16,39,1"
"23715","exec sp_cursorfetch 180157689,16,40,1"
"23716","exec sp_cursorfetch 180157689,16,41,1"
"23717","exec sp_cursorfetch 180157689,16,42,1"
"23718","exec sp_cursorfetch 180157689,16,43,1"
"23719","exec sp_cursorfetch 180157689,16,44,1"
"23720","exec sp_cursorfetch 180157689,16,45,1"
"23721","exec sp_cursorfetch 180157689,16,46,1"
"23722","exec sp_cursorfetch 180157689,16,47,1"
"23723","exec sp_cursorfetch 180157689,16,48,1"
"23724","exec sp_cursorfetch 180157689,16,49,1"
"23725","exec sp_cursorfetch 180157689,16,50,1"
"23726","exec sp_cursorfetch 180157689,16,51,1"
"23727","exec sp_cursorfetch 180157689,16,52,1"
"23728","exec sp_cursorfetch 180157689,16,53,1"
"23729","exec sp_cursorfetch 180157689,16,54,1"
"23730","exec sp_cursorfetch 180157689,16,55,1"
"23731","exec sp_cursorfetch 180157689,16,56,1"
"23732","exec sp_cursorfetch 180157689,16,57,1"
"23733","exec sp_cursorfetch 180157689,16,58,1"
"23734","exec sp_cursorfetch 180157689,16,59,1"
"23735","exec sp_cursorfetch 180157689,16,60,1"
"23736","exec sp_cursorfetch 180157689,16,61,1"
"23737","exec sp_cursorfetch 180157689,16,62,1"
"23738","declare @p1 int
set @p1=180157691
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' select Security_Group from GMP_USAGERS where UsagerID = ''ed50617RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23739","exec sp_cursorfetch 180157691,16,1,1"
"23740","exec sp_cursorclose 180157691"
"23741","declare @p1 int
set @p1=180157693
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=3
exec sp_cursoropen @p1 output,N' SELECT Description, OnlyInList FROM HS_DescriptionCourte WHERE Type_Of_Problem= ''NOUVELLE INSTALLATION'' ORDER BY SortOrder',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23742","exec sp_cursorfetch 180157693,16,1,1"
"23743","exec sp_cursorfetch 180157693,16,2,1"
"23744","exec sp_cursorfetch 180157693,16,3,1"
"23745","exec sp_cursorfetch 180157693,16,4,1"
"23746","exec sp_cursorclose 180157693"
"23747","declare @p1 int
set @p1=180157695
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT FName + '' '' + LName FROM GMP_USAGERS WHERE UsagerID = ''ED50617RSC'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23748","exec sp_cursorfetch 180157695,16,1,1"
"23749","exec sp_cursorclose 180157695"
"23750","declare @p1 int
set @p1=180157697
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT FName + '' '' + LName FROM GMP_USAGERS WHERE UsagerID = ''ED50617RSC'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23751","exec sp_cursorfetch 180157697,16,1,1"
"23752","exec sp_cursorclose 180157697"
"23753","declare @p1 int
set @p1=180157699
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Contract_Description FROM HS_Produit  WHERE Contract_Number = ''C0852908'' AND CUSTNMBR = ''CL00189898'' AND ADRSCODE = ''SERVICE''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23754","exec sp_cursorfetch 180157699,16,1,1"
"23755","exec sp_cursorclose 180157699"
"23756","declare @p1 int
set @p1=180157701
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT HS_Tache.Task_Description FROM HS_Appel, HS_Tache WHERE ( HS_Appel.SuiviClient =''1'' OR HS_Appel.EntretienPlanifie =''1'') AND HS_Tache.Service_Call_ID = HS_Appel.Service_Call_ID AND (substring(HS_Tache.Task_Code,1,1) = ''A'' OR substring(HS_Tache.Task_Code,1,1) = ''Z'') AND HS_Tache.Task_Status <> ''COMPLETE'' AND HS_Tache.Service_Call_ID = ''161023-0001'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23757","exec sp_cursorfetch 180157701,16,1,1"
"23758","exec sp_cursorclose 180157701"
"23759","declare @p1 int
set @p1=180157703
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT VendorIDRestriction  FROM gmp_sv00310  WHERE Type_of_Problem =''NOUVELLE INSTALLATION''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23760","exec sp_cursorfetch 180157703,16,1,1"
"23761","exec sp_cursorclose 180157703"
"23762","declare @p1 int
set @p1=180157705
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' select CGE_DESCRIPTION from GMP_BATIMENT   where PRO_CAT_BAT=''2A''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23763","exec sp_cursorfetch 180157705,16,1,1"
"23764","exec sp_cursorclose 180157705"
"23765","declare @p1 int
set @p1=180157707
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT GMP_CONTRACTEQUIP.Contract_Number FROM GMP_CONTRACTEQUIP LEFT JOIN HS_Produit  ON GMP_CONTRACTEQUIP.CUSTNMBR = HS_Produit.CUSTNMBR  AND GMP_CONTRACTEQUIP.ADRSCODE = HS_Produit.ADRSCODE  AND GMP_CONTRACTEQUIP.Contract_Number = HS_Produit.Contract_Number  WHERE GMP_CONTRACTEQUIP.CUSTNMBR = ''CL00189898'' AND GMP_CONTRACTEQUIP.ADRSCODE = ''SERVICE'' AND GMP_CONTRACTEQUIP.Starting_Date < CONVERT(DATETIME,''2016-11-10'')  AND GMP_CONTRACTEQUIP.Ending_Date > CONVERT(DATETIME,''2016-11-10'')  AND HS_Produit.Service_User_Define_18 = ''1''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23766","exec sp_cursorfetch 180157707,16,1,1"
"23767","exec sp_cursorclose 180157707"
"23768","declare @p1 int
set @p1=180157709
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT User_Define_1a FROM SV00105  WHERE User_Define_1a_ID = ''3'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23769","exec sp_cursorfetch 180157709,16,1,1"
"23770","exec sp_cursorclose 180157709"
"23771","declare @p1 int
set @p1=180157711
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT distinct Zone FROM GMP_POSTAL WHERE Postal = LEFT(''J6K1Y6'', (select max(LEN(Postal)) from GMP_POSTAL Where Postal = LEFT(''J6K1Y6'', LEN(Postal))))',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23772","exec sp_cursorfetch 180157711,16,1,1"
"23773","exec sp_cursorclose 180157711"
"23774","declare @p1 int
set @p1=180157713
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT NOM_VILLE from GMP_VILLE  where ID_VILLE = ''1784''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23775","exec sp_cursorfetch 180157713,16,1,1"
"23776","exec sp_cursorclose 180157713"
"23777","declare @p1 int
set @p1=180157715
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT *  FROM gmp_repertoire  WHERE ServeurSQL= ''DEV01-HS\DEV''   AND CleRepertoire= ''Images''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23778","exec sp_cursorfetch 180157715,16,1,1"
"23779","exec sp_cursorclose 180157715"
"23780","declare @p1 int
set @p1=180157717
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT WSReserved_CB2 FROM SV00310 WHERE Type_of_Problem = ''NOUVELLE INSTALLATION'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23781","exec sp_cursorfetch 180157717,16,1,1"
"23782","exec sp_cursorclose 180157717"
"23783","declare @p1 int
set @p1=180157719
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23784","exec sp_cursorfetch 180157719,16,1,1"
"23785","exec sp_cursorclose 180157719"
"23786","declare @p1 int
set @p1=180157721
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''30'' AND USER_CLASS=''RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23787","exec sp_cursorfetch 180157721,16,1,1"
"23788","exec sp_cursorclose 180157721"
"23789","declare @p1 int
set @p1=180157723
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' select Security_Group from GMP_USAGERS where UsagerID = ''ed50617RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23790","exec sp_cursorfetch 180157723,16,1,1"
"23791","exec sp_cursorclose 180157723"
"23792","declare @p1 int
set @p1=180157725
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT *, HS_Tache.DateMinimale as DateMin, HS_Tache.DateMaximale as DateMax FROM HS_Appel  LEFT JOIN HS_Tache  ON HS_Appel.Service_Call_ID = HS_Tache.Service_Call_ID  AND HS_Tache.SeqNumbr = ''1''  WHERE HS_Appel.CUSTNMBR = ''CL00189898''  AND HS_Appel.ADRSCODE = ''SERVICE''  AND Status_of_Call = ''Ouv''  AND EntretienPlanifie = ''1''  AND WSReserved_CB5 = ''0'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23793","exec sp_cursorfetch 180157725,16,1,1"
"23794","exec sp_cursorclose 180157725"
"23795","declare @p1 int
set @p1=180157727
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT WSReserved_CB2 FROM SV00310 WHERE Type_of_Problem = ''NOUVELLE INSTALLATION'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23796","exec sp_cursorfetch 180157727,16,1,1"
"23797","exec sp_cursorclose 180157727"
"23798","declare @p1 int
set @p1=180157729
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23799","exec sp_cursorfetch 180157729,16,1,1"
"23800","exec sp_cursorclose 180157729"
"23801","declare @p1 int
set @p1=180157731
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''30'' AND USER_CLASS=''RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23802","exec sp_cursorfetch 180157731,16,1,1"
"23803","exec sp_cursorclose 180157731"
"23804","declare @p1 int
set @p1=180157733
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT GMP_CONTRACTEQUIP.Contract_Number FROM GMP_CONTRACTEQUIP LEFT JOIN HS_Produit  ON GMP_CONTRACTEQUIP.CUSTNMBR = HS_Produit.CUSTNMBR  AND GMP_CONTRACTEQUIP.ADRSCODE = HS_Produit.ADRSCODE  AND GMP_CONTRACTEQUIP.Contract_Number = HS_Produit.Contract_Number  WHERE GMP_CONTRACTEQUIP.CUSTNMBR = ''CL00189898'' AND GMP_CONTRACTEQUIP.ADRSCODE = ''SERVICE'' AND GMP_CONTRACTEQUIP.Starting_Date < CONVERT(DATETIME,''2016-11-10'')  AND GMP_CONTRACTEQUIP.Ending_Date > CONVERT(DATETIME,''2016-11-10'')  AND HS_Produit.Service_User_Define_18 = ''1''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23805","exec sp_cursorfetch 180157733,16,1,1"
"23806","exec sp_cursorclose 180157733"
"23807","declare @p1 int
set @p1=180157735
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT User_Define_1a FROM SV00105  WHERE User_Define_1a_ID = ''3'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23808","exec sp_cursorfetch 180157735,16,1,1"
"23809","exec sp_cursorclose 180157735"
"23810","declare @p1 int
set @p1=180157737
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' select CAST(IsReclamationShown as integer) IsReclamationShown from gmp_sv00310 Where Type_of_Problem = ''NOUVELLE INSTALLATION'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23811","exec sp_cursorfetch 180157737,16,1,1"
"23812","exec sp_cursorclose 180157737"
"23813","declare @p1 int
set @p1=180157739
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM HS_Produit  WHERE CUSTNMBR = ''CL00189898''  AND ADRSCODE = ''SERVICE''  AND Service_User_Define_18 = ''1''  AND WS_Closed = ''0'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23814","exec sp_cursorfetch 180157739,16,1,1"
"23815","exec sp_cursorclose 180157739"
"23816","declare @p1 int
set @p1=180157741
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT e.*  FROM HS_Equipement e     INNER JOIN sv00405 de ON e.User_Define_5a= de.sub_4 WHERE CUSTNMBR = ''CL00189898''  AND ADRSCODE = ''SERVICE'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23817","exec sp_cursorfetch 180157741,16,1,1"
"23818","exec sp_cursorclose 180157741"
"23819","declare @p1 int
set @p1=180157743
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT *, HS_Tache.DateMinimale as DateMin, HS_Tache.DateMaximale as DateMax FROM HS_Appel  LEFT JOIN HS_Tache  ON HS_Appel.Service_Call_ID = HS_Tache.Service_Call_ID  AND HS_Tache.SeqNumbr = ''1''  WHERE HS_Appel.CUSTNMBR = ''CL00189898''  AND HS_Appel.ADRSCODE = ''SERVICE''  AND Status_of_Call = ''Ouv''  AND EntretienPlanifie = ''1''  AND WSReserved_CB5 = ''0'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23820","exec sp_cursorfetch 180157743,16,1,1"
"23821","exec sp_cursorclose 180157743"
"23822","declare @p1 int
set @p1=180157745
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' select top 1 COL002 from gmp_tarif inner join gmp_typestarifs gtt on gmp_tarif.COL002= gtt.TypeTarifID WHERE 1=1  AND left(COL002, 1)= ''R'' and (CONVERT(DATETIME,''2016-11-10'') between TAR_DT_START and TAR_DT_FINISH) order by  DateEffectif desc',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23823","exec sp_cursorfetch 180157745,16,1,1"
"23824","exec sp_cursorclose 180157745"
"23825","declare @p1 int
set @p1=180157747
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'select * from GMP_PARTENAIRES  where CUSTNMBR =''CL00189898'' and  ADRSCODE =''SERVICE'' and Service_Call_ID = ''161023-0001'' and Active =''1''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23826","exec sp_cursorfetch 180157747,16,1,1"
"23827","exec sp_cursorclose 180157747"
"23828","declare @p1 int
set @p1=180157749
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N' select * from GMP_ATTACHEMENT  where Service_Call_ID =''161023-0001''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23829","exec sp_cursorfetch 180157749,16,1,1"
"23830","exec sp_cursorclose 180157749"
"23831","declare @p1 int
set @p1=180157751
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' select WSReserved_CB2 from SV00310 Where Type_of_Problem = ''NOUVELLE INSTALLATION'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23832","exec sp_cursorfetch 180157751,16,1,1"
"23833","exec sp_cursorclose 180157751"
"23834","declare @p1 int
set @p1=180157753
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'Select * from HS_Appel where (Status_of_Call = ''COMPLETE'' Or Status_of_Call = ''CLOSED'') and Service_Call_ID=''161023-0001 ''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23835","exec sp_cursorfetch 180157753,16,1,1"
"23836","exec sp_cursorclose 180157753"
"23837","declare @p1 int
set @p1=180157755
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT WSReserved_CB1 FROM SV00310 WHERE Type_of_Problem = ''NOUVELLE INSTALLATION'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23838","exec sp_cursorfetch 180157755,16,1,1"
"23839","exec sp_cursorclose 180157755"
"23840","declare @p1 int
set @p1=180157757
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23841","exec sp_cursorfetch 180157757,16,1,1"
"23842","exec sp_cursorclose 180157757"
"23843","declare @p1 int
set @p1=180157759
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''16'' AND USER_CLASS=''RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23844","exec sp_cursorfetch 180157759,16,1,1"
"23845","exec sp_cursorclose 180157759"
"23846","declare @p1 int
set @p1=180157761
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23847","exec sp_cursorfetch 180157761,16,1,1"
"23848","exec sp_cursorclose 180157761"
"23849","declare @p1 int
set @p1=180157763
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''22'' AND USER_CLASS=''RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23850","exec sp_cursorfetch 180157763,16,1,1"
"23851","exec sp_cursorclose 180157763"
"23852","declare @p1 int
set @p1=180157765
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM HS_Produit  WHERE CUSTNMBR = ''CL00189898''  AND ADRSCODE = ''SERVICE''  AND Service_User_Define_18 = ''1''  AND WS_Closed = ''0'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23853","exec sp_cursorfetch 180157765,16,1,1"
"23854","exec sp_cursorclose 180157765"
"23855","declare @p1 int
set @p1=180157767
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT MAX(Service_Call_ID) AS Service_Call_ID FROM HS_Appel  WHERE Service_Call_ID < ''161023-0001'' AND CUSTNMBR = ''CL00189898'' AND ADRSCODE = ''SERVICE''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23856","exec sp_cursorfetch 180157767,16,1,1"
"23857","exec sp_cursorclose 180157767"
"23858","declare @p1 int
set @p1=180157769
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT MIN(Service_Call_ID) AS Service_Call_ID FROM HS_Appel  WHERE Service_Call_ID > ''161023-0001'' AND CUSTNMBR = ''CL00189898'' AND ADRSCODE = ''SERVICE''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23859","exec sp_cursorfetch 180157769,16,1,1"
"23860","exec sp_cursorclose 180157769"
"23861","declare @p1 int
set @p1=180157771
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM SV000805  WHERE CUSTNMBR = ''CL00189898''  AND ADRSCODE = ''SERVICE''  AND Reference_ID = ''x'' AND isnumeric(Note_Service_Index) = ''0''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23862","exec sp_cursoroption 180157771,1,0"
"23863","exec sp_cursorfetch 180157771,16,1,1"
"23864","exec sp_cursorclose 180157771"
"23865","declare @p1 int
set @p1=180157773
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT * FROM SV000805  WHERE CUSTNMBR = ''CL00189898''  AND ADRSCODE = ''SERVICE''  AND Reference_ID = ''161023-0001'' AND isnumeric(Note_Service_Index) = ''0''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23866","exec sp_cursoroption 180157773,1,0"
"23867","exec sp_cursorfetch 180157773,16,1,1"
"23868","exec sp_cursorclose 180157773"
"23869","declare @p1 int
set @p1=180157775
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' select Si_Mutli_Tache from GMP_SV00310  where Type_of_Problem =''NOUVELLE INSTALLATION''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23870","exec sp_cursorfetch 180157775,16,1,1"
"23871","exec sp_cursorclose 180157775"
"23872","declare @p1 int
set @p1=180157777
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' select Si_Mutli_Tache from GMP_SV00310  where Type_of_Problem =''NOUVELLE INSTALLATION''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23873","exec sp_cursorfetch 180157777,16,1,1"
"23874","exec sp_cursorclose 180157777"
"23875","declare @p1 int
set @p1=180157779
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Security_Group FROM GMP_USAGERS WHERE UsagerID = ''ed50617RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23876","exec sp_cursorfetch 180157779,16,1,1"
"23877","exec sp_cursorclose 180157779"
"23878","declare @p1 int
set @p1=180157781
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_SECURITEACCESS  WHERE ITEM_ID=''3'' AND USER_CLASS=''RSC''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23879","exec sp_cursorfetch 180157781,16,1,1"
"23880","exec sp_cursorclose 180157781"
"23881","declare @p1 int
set @p1=180157783
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT WSReserved_CB3 FROM SV00310 WHERE RTRIM(Type_of_Problem) = ''NOUVELLE INSTALLATION'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23882","exec sp_cursorfetch 180157783,16,1,1"
"23883","exec sp_cursorclose 180157783"
"23884","declare @p1 int
set @p1=180157785
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT GMP_CONTRACTEQUIP.Contract_Number FROM GMP_CONTRACTEQUIP LEFT JOIN HS_Produit  ON GMP_CONTRACTEQUIP.CUSTNMBR = HS_Produit.CUSTNMBR  AND GMP_CONTRACTEQUIP.ADRSCODE = HS_Produit.ADRSCODE  AND GMP_CONTRACTEQUIP.Contract_Number = HS_Produit.Contract_Number  WHERE GMP_CONTRACTEQUIP.CUSTNMBR = ''CL00189898'' AND GMP_CONTRACTEQUIP.ADRSCODE = ''SERVICE'' AND GMP_CONTRACTEQUIP.Starting_Date < CONVERT(DATETIME,''2016-11-10'')  AND GMP_CONTRACTEQUIP.Ending_Date > CONVERT(DATETIME,''2016-11-10'')  AND HS_Produit.Service_User_Define_18 = ''1''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23885","exec sp_cursorfetch 180157785,16,1,1"
"23886","exec sp_cursorclose 180157785"
"23887","declare @p1 int
set @p1=180157787
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT User_Define_1a FROM SV00105  WHERE User_Define_1a_ID = ''3'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23888","exec sp_cursorfetch 180157787,16,1,1"
"23889","exec sp_cursorclose 180157787"
"23890","declare @p1 int
set @p1=180157789
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT SiAfficheCODebranche FROM gmp_sv00310 WHERE Type_of_problem= ''NOUVELLE INSTALLATION''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"23891","exec sp_cursorfetch 180157789,16,1,1"
